Season,Avg_PTS,Avg_3P_Pct,Avg_Pace,Avg_ORtg,Avg_DRtg,Avg_Win_Pct,Avg_Attendance
2023-24,114.22,0.366,98.513,115.283,115.257,0.5,18329.7
2024-25,113.827,0.36,98.847,114.533,114.53,0.5,18150.133
2025-26,115.607,0.359,99.353,115.78,115.73,0.5,18040.167
