Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,TS%,Attend./G,Win%,AST/TOV,PTS/FGA
Denver Nuggets,82,243.0,43.5,87.8,0.496,14.2,35.8,0.396,29.4,52.0,0.565,20.8,25.8,0.808,9.8,34.2,44.0,29.0,6.8,4.0,12.9,19.1,122.1,2025-26,27.8,54.0,28.0,5.15,-0.17,4.97,122.6,117.4,5.2,98.4,0.616,19826,0.6585365853658537,2.25,1.39
Miami Heat,82,240.3,43.7,93.3,0.468,13.7,37.9,0.361,30.0,55.4,0.542,19.8,25.0,0.792,11.8,34.5,46.3,29.0,8.6,4.3,13.7,18.9,120.9,2025-26,26.2,43.0,39.0,2.33,0.02,2.35,116.7,114.5,2.2,103.4,0.58,19709,0.524390243902439,2.12,1.3
San Antonio Spurs,82,240.6,43.4,89.9,0.483,13.6,37.9,0.359,29.8,52.0,0.574,19.3,24.6,0.787,11.4,35.6,47.0,28.1,7.5,5.5,13.5,18.9,119.8,2025-26,25.4,62.0,20.0,8.3,-0.03,8.28,119.6,111.3,8.3,99.9,0.595,18703,0.7560975609756098,2.08,1.33
Cleveland Cavaliers,82,240.9,43.3,90.0,0.482,14.3,39.8,0.36,29.0,50.2,0.578,18.5,23.9,0.776,11.7,32.7,44.4,28.3,8.5,5.0,14.0,19.6,119.5,2025-26,27.2,52.0,30.0,4.11,-0.34,3.78,119.2,115.1,4.1,99.9,0.595,19432,0.6341463414634146,2.02,1.33
Oklahoma City Thunder,82,242.1,43.1,89.1,0.484,13.8,37.9,0.365,29.3,51.2,0.572,19.0,23.2,0.817,9.6,34.6,44.1,25.8,9.7,5.5,12.6,19.0,119.0,2025-26,25.2,64.0,18.0,11.15,-0.11,11.04,118.9,107.7,11.2,99.3,0.599,18203,0.7804878048780488,2.05,1.34
Atlanta Hawks,82,240.9,43.6,92.0,0.474,14.6,39.5,0.371,29.0,52.5,0.552,16.6,21.5,0.774,11.0,32.6,43.5,30.1,9.4,4.7,14.2,19.7,118.5,2025-26,25.2,46.0,36.0,2.41,-0.03,2.38,116.1,113.7,2.4,101.7,0.584,16356,0.5609756097560976,2.12,1.29
Minnesota Timberwolves,82,241.2,42.6,88.5,0.481,13.8,37.2,0.37,28.9,51.4,0.562,19.0,25.3,0.752,11.1,33.0,44.1,26.1,8.7,5.8,14.8,21.2,118.0,2025-26,27.9,49.0,33.0,3.35,-0.28,3.07,116.8,113.5,3.3,100.5,0.592,17402,0.5975609756097561,1.76,1.33
Detroit Pistons,82,241.5,43.4,89.5,0.485,11.0,30.9,0.356,32.4,58.6,0.553,19.9,26.1,0.763,13.1,32.5,45.6,27.8,10.4,6.4,15.1,22.0,117.8,2025-26,26.1,60.0,22.0,8.16,-0.63,7.53,117.9,109.7,8.2,99.3,0.583,19651,0.7317073170731707,1.84,1.32
Utah Jazz,82,241.8,42.5,91.1,0.467,12.6,36.7,0.345,29.9,54.4,0.55,19.9,25.3,0.786,12.0,31.8,43.8,29.6,8.9,3.8,15.5,21.1,117.6,2025-26,24.1,22.0,60.0,-8.43,0.38,-8.05,114.1,122.3,-8.2,102.3,0.575,17742,0.2682926829268293,1.91,1.29
New York Knicks,82,240.9,42.7,89.4,0.478,14.2,38.2,0.373,28.4,51.2,0.556,16.8,21.3,0.792,12.7,32.9,45.6,27.4,8.1,3.9,13.6,20.0,116.5,2025-26,28.1,53.0,29.0,6.33,-0.28,6.05,119.8,113.3,6.5,96.8,0.59,19812,0.6463414634146342,2.01,1.3
Chicago Bulls,82,240.9,42.4,90.5,0.469,14.3,40.1,0.356,28.1,50.4,0.559,17.3,22.2,0.776,10.4,34.7,45.0,28.5,7.6,5.0,15.3,19.0,116.3,2025-26,25.3,31.0,51.0,-5.21,0.12,-5.09,113.0,118.1,-5.1,102.5,0.58,20244,0.3780487804878049,1.86,1.29
Los Angeles Lakers,82,240.3,42.0,83.7,0.502,11.8,32.9,0.359,30.2,50.8,0.595,20.4,26.8,0.763,9.4,31.5,41.0,25.9,8.5,4.3,14.5,18.5,116.3,2025-26,28.0,53.0,29.0,1.76,-0.07,1.68,118.2,116.4,1.8,98.3,0.609,18855,0.6463414634146342,1.79,1.39
Charlotte Hornets,82,240.9,40.9,88.9,0.46,16.4,43.3,0.378,24.6,45.6,0.538,17.8,21.7,0.818,12.8,33.3,46.1,26.3,7.0,4.5,15.4,19.1,116.0,2025-26,24.0,44.0,38.0,4.83,-0.35,4.48,119.4,114.4,5.0,96.8,0.589,18715,0.5365853658536586,1.71,1.3
