Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,TS%,Attend./G,Win%,AST/TOV,PTS/FGA
Detroit Pistons,82,240.9,40.9,88.2,0.463,11.0,31.7,0.348,29.8,56.5,0.528,17.0,21.7,0.785,10.5,32.8,43.3,25.5,6.5,4.7,15.2,20.6,109.9,2023-24,23.8,14.0,68.0,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.562,18159,0.17073170731707318,1.68,1.25
Charlotte Hornets,82,240.6,40.0,87.0,0.46,12.1,34.0,0.355,28.0,53.0,0.528,14.5,18.4,0.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,18.0,106.6,2023-24,25.1,21.0,61.0,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.56,16449,0.25609756097560976,1.8,1.23
Portland Trail Blazers,82,242.4,39.4,89.7,0.439,11.5,33.2,0.345,27.9,56.5,0.494,16.2,20.5,0.791,12.6,30.1,42.7,23.1,7.6,4.3,15.2,20.2,106.4,2023-24,24.1,21.0,61.0,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.539,18327,0.25609756097560976,1.52,1.19
Memphis Grizzlies,82,241.2,38.4,88.2,0.435,13.1,37.8,0.346,25.3,50.4,0.502,16.0,21.0,0.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,19.1,105.8,2023-24,24.4,27.0,55.0,-7.0,0.43,-6.57,107.2,114.3,-7.1,98.2,0.543,16631,0.32926829268292684,1.64,1.2
Cleveland Cavaliers,82,240.9,44.5,90.8,0.491,15.9,41.5,0.383,28.6,49.3,0.581,17.0,21.9,0.776,11.2,34.2,45.4,28.1,8.2,4.3,13.2,18.1,121.9,2024-25,26.6,64.0,18.0,9.54,-0.73,8.81,121.7,112.2,9.5,99.8,0.607,19432,0.7804878048780488,2.13,1.34
Memphis Grizzlies,82,240.3,44.8,93.3,0.479,13.9,37.9,0.367,30.8,55.5,0.556,18.3,23.3,0.786,12.9,34.4,47.3,28.4,8.9,5.6,15.7,20.9,121.7,2024-25,24.7,48.0,34.0,4.85,-0.06,4.79,117.7,113.0,4.7,103.3,0.588,16660,0.5853658536585366,1.81,1.3
Denver Nuggets,82,242.1,45.4,89.8,0.506,12.0,31.9,0.376,33.4,57.8,0.578,17.9,23.3,0.77,11.2,34.5,45.7,31.0,8.0,4.9,14.3,17.6,120.8,2024-25,27.0,50.0,32.0,3.89,0.08,3.97,119.9,116.0,3.9,99.8,0.604,19786,0.6097560975609756,2.17,1.35
Oklahoma City Thunder,82,240.3,44.6,92.7,0.482,14.5,38.8,0.374,30.1,53.9,0.559,16.7,20.4,0.819,10.6,34.2,44.8,26.9,10.3,5.7,11.7,19.9,120.5,2024-25,24.8,68.0,14.0,12.87,-0.16,12.7,120.3,107.5,12.8,100.0,0.593,17973,0.8292682926829268,2.3,1.3
Atlanta Hawks,82,241.2,43.4,91.8,0.472,13.5,37.7,0.358,29.9,54.1,0.552,18.0,23.2,0.775,11.9,32.6,44.5,29.6,9.7,5.1,15.5,19.1,118.2,2024-25,24.9,40.0,42.0,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.579,16440,0.4878048780487805,1.91,1.29
Chicago Bulls,82,240.9,43.2,92.0,0.47,15.4,42.0,0.367,27.8,50.0,0.556,16.0,19.7,0.809,10.1,35.8,45.9,29.1,7.6,4.7,14.7,17.6,117.8,2024-25,25.2,39.0,43.0,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.585,20138,0.47560975609756095,1.98,1.28
Indiana Pacers,82,242.1,43.6,89.3,0.488,13.2,35.8,0.368,30.4,53.6,0.568,17.0,21.6,0.789,9.2,32.7,41.8,29.2,8.5,5.5,13.2,18.7,117.4,2024-25,25.8,50.0,32.0,2.23,-0.55,1.68,116.5,114.3,2.2,99.9,0.594,16737,0.6097560975609756,2.21,1.31
Boston Celtics,82,241.8,41.6,90.0,0.462,17.8,48.2,0.368,23.9,41.8,0.571,15.3,19.1,0.799,11.4,33.9,45.3,26.1,7.2,5.5,11.9,15.9,116.3,2024-25,28.9,61.0,21.0,9.11,-0.83,8.28,120.6,111.1,9.5,95.7,0.591,19156,0.7439024390243902,2.19,1.29
New York Knicks,82,242.4,43.3,89.2,0.486,12.6,34.1,0.369,30.8,55.1,0.558,16.5,20.7,0.8,10.9,31.8,42.6,27.5,8.2,4.0,13.3,17.2,115.8,2024-25,27.5,51.0,31.0,4.1,-0.51,3.59,118.5,114.3,4.2,96.7,0.589,19800,0.6219512195121951,2.07,1.3
Sacramento Kings,82,242.4,43.0,90.1,0.478,12.6,35.2,0.357,30.5,54.9,0.555,17.1,21.2,0.806,11.0,33.2,44.2,26.5,7.6,4.4,13.3,18.9,115.7,2024-25,27.8,40.0,42.0,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.582,16986,0.4878048780487805,1.99,1.28
Milwaukee Bucks,82,240.9,42.0,86.4,0.486,14.2,36.6,0.387,27.9,49.7,0.56,17.3,23.1,0.75,8.2,35.1,43.4,25.5,7.3,4.7,13.4,17.9,115.5,2024-25,29.3,48.0,34.0,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.598,17437,0.5853658536585366,1.9,1.34
Detroit Pistons,82,241.5,42.7,89.8,0.476,12.8,35.4,0.362,29.9,54.4,0.55,17.2,22.3,0.774,11.4,33.4,44.8,26.4,8.0,5.3,14.9,20.7,115.5,2024-25,25.8,44.0,38.0,1.9,-0.17,1.73,115.0,113.1,1.9,99.8,0.58,19071,0.5365853658536586,1.77,1.29
Minnesota Timberwolves,82,241.8,41.0,87.6,0.468,15.0,39.9,0.377,26.0,47.7,0.545,17.2,21.8,0.789,11.1,33.2,44.3,26.1,8.0,5.0,14.5,18.3,114.3,2024-25,27.2,49.0,33.0,5.0,0.15,5.15,116.6,111.5,5.1,97.3,0.588,18835,0.5975609756097561,1.8,1.3
Houston Rockets,82,241.2,42.5,93.4,0.455,12.7,35.8,0.353,29.8,57.6,0.518,16.7,22.6,0.738,14.6,33.8,48.5,23.3,8.4,5.0,13.9,19.0,114.3,2024-25,24.9,52.0,30.0,4.51,0.45,4.97,115.3,110.8,4.5,98.6,0.553,17484,0.6341463414634146,1.68,1.22
Dallas Mavericks,82,240.6,42.0,87.7,0.479,12.4,34.2,0.364,29.5,53.6,0.552,17.8,23.1,0.77,10.1,33.0,43.0,25.2,7.8,5.4,14.0,17.8,114.2,2024-25,27.5,39.0,43.0,-1.2,0.46,-0.74,114.8,116.0,-1.2,99.2,0.583,20079,0.47560975609756095,1.8,1.3
